DARTMOUTH POSITION TITLES,Dartmouth,Barnstable,Bourne ,Canton,Dedham,Duxbury,Easton,Fairhaven,Falmouth,Mansfield,Marshfield,North Attleboro,Norwood,Plymouth,Stoughton,Walpole,ERI,,Comp Data Points,60th Percentile
Alternate Building Inspector,$25 per,,,,31,26.23,,,,,,23.07,,,,,27.6,,4,27.326
,inspection,,,,31,35.41,,,,,,26.74,,,,,34.9,,4,34.12
Alternate Gas/Plumbing Inspector,$25 per,,,,31,26.23,35,,,,,$40 per,,,,,31.77,,4,31.616
,inspection,,,,31,35.41,35,,,,,inspection,,,,,40.32,,4,35.327999999999996
Alternate Wire Inspector,$25 per,32,,,31,26.23,35,,,,,$40 per,31.22,,,,28.51,,6,31.22
,inspection,32,,,31,35.41,35,,,,,inspection,38.32,,,,38.05,,6,35.41
Asistant Director of Parks & Rec Seasonal,19,,,,,,,,,,,,,,,,31.3,,1,31.3
,19,,,,,,,,,,,,,,,,39.28,,1,39.28
Assistant Seasonal Harbor Master,20,,,,,,,17.37,23.48,,16,,,18,,,,,4,17.874
,20,,,,,,,21.15,28.54,,26,,,22,,,,,4,25.2
Beach Rake Operator,50,,,,,,,,23.48,,,,,,,,,,1,23.48
,50,,,,,,,,28.54,,,,,,,,,,1,28.54
Beach Supervisor,20.75,,,,,,,26,30.63,,18,15.89,,19.5375,,,,,5,22.122500000000002
,20.75,,,,,,,26,37.24,,26,18.42,,22.0125,,,,,5,26
COA Bus Driver,17,17.5,,24.25,24.06,22.66,23.87,16.218,24.81,,,23,25.63,,23.2866,22.14,22.57,,12,23.63664
,17,17.5,,24.25,31.85,30.59,31.19,17.9724,31.39,,,23,32.4,,25.7754,29.21,27.25,,12,30.038
Concession Assistant Mgr,16,,,,,,,,,,,,,,,,,,0,
,20,,,,,,,,,,,,,,,,,,0,
Concession Server,15,,,,,,,,,,,,,15.0875,,,20.41,,2,18.281
,15,,,,,,,,,,,,,17,,,23.06,,2,20.636
DCTV Commentators,$60 per,,,,,,,,,,,,,,,,,,0,
,game,,,,,,,,,,,,,,,,,,0,
DCTV Productions Assistants,15.75,,,,,,,18.0744,,,,,,,,,,,1,18.0744
,19,,,,,,,22.011599999999998,,,,,,,,,,,1,22.011599999999998
DPW-Bridgetender,15,,,,,,,,19.36,,,,,,,,25.37,,2,22.966
,15,,,,,,,,24.5,,,,,,,,31.87,,2,28.922
EMA Detail Worker,25,,,,,,,,,,,,,,,,19.2,,1,19.2
,25,,,,,,,,,,,,,,,,21.67,,1,21.67
FIN COM Assistant,15,,,,,,,,,,,,,,,,21.2,,1,21.2
,15,,,,,,,,,,,,,,,,25.38,,1,25.38
Gate Guard,15,,,,,,,15.49,18.08,,,15,,,,15,18.97,,5,16.526
,15,,,,,,,15.49,19.93,,,17.39,,,,15,21.53,,5,18.406
Intern/Analyst,15,,,,18,,,,,,15,,,,,,18.29,,3,18.058
,16,,,,22,,,,,,18,,,,,,20.56,,3,20.848
Lifeguard,18.75,,23,,13.5,,,15.799800000000001,19.17,,15.75,15.89,18.75,18,,18,19.37,,10,18.3
,18.75,,23,,36,,,19.247400000000003,23.31,,19,18.42,20.25,22,,19,21.61,,10,21.766
Library Page,15,,,16.5,,,15,15.75,18.7,15,,15.38,16.08,15,15,,12.5,,10,15.528
,15,,,18.86,,,15,15.75,23.67,15.3,,17.82,17.6,16.35,15.61,,15.7,,10,16.85
Library Substitute,20,,,,24.68,22.66,,,23.73,,,20.06,,26.85,,,22.71,,6,23.73
,26,,,,31.42,30.59,,,30.04,,,23.25,,26.85,,,27.57,,6,30.04
Library Tech,20,,22.85,,,,,,24.91,,,20.06,,22.38,,,22.71,,5,22.766000000000002
,26,,23.89,,,,,,31.53,,,23.25,,25.33,,,27.57,,5,26.226
Office Assistant/Receptionist,16.75,18,,,,,,15.49,23.18,,,20.06,,19.5375,,,22.14,,6,20.06
,16.75,20,,,,,,15.49,29.32,,,23.25,,22.0125,,,27.25,,6,23.25
Park Laborer,16,18,,,,,,15.49,,19,,19.29,14.25,17,,15,15,,8,17.2
,16,20,,,,,,15.49,,19,,22.36,15.5,18.5,,19.65,16.29,,8,19.13
Park Truck Driver,19,,,,,,,,,,,,,,,,20.38,,1,20.38
,19,,,,,,,,,,,,,,,,24.67,,1,24.67
Playground Instructor,16,15,20,,,,,15,17.91,15,15,15,,16.45,,15,,,9,15
,16,15,20,,,,,15.6,21.78,15,18,17.39,,18.5125,,17,,,9,17.878
Town Hall Substitue Custodian,16.12,18,,,22,,,,,,,19.38,,,,,20.37,,4,20.172
,19.26,20,,,22,,,,,,,22.47,,,,,23.18,,4,22.375999999999998
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Director of Emergency Management,"$13,000",,,,,,,,,,,,,41.12,,"$9,700",,,1,41.12
,,,,,,,,,,,,,,51.1,,"$12,800",,,1,51.1
Sealer of Weights and Measures,"$12,000",,,,38.92,"$3,000",39.72,,,,"$5,000",,,30.18,,"$15,000",,,3,39.08
,,,,,51.52,,39.72,,,,,,,37.34,,,,,3,42.08
Sub Plow Driver,50,,,,,,,,,,,35,,,,,,,1,35
,50,,,,,,,,,,,35,,,,,,,1,35
